-_-	1
._.	2
1girl	16
1other	1
2girls	11
3girls	4
:d	18
:o	3
>_<	10
abseiling	1
ahoge	3
antennae	1
arcade_stick	1
arms_up	4
ascot	8
asymmetrical_gloves	2
asymmetrical_legwear	7
asymmetrical_sleeves	1
axe	1
bandages	1
bangs	37
barbell	1
bare_arms	1
bare_legs	2
bare_shoulders	1
baseball_bat	1
baseball_helmet	1
baseball_uniform	1
bee_costume	1
bell	1
beret	11
bird	1
black-framed_eyewear	1
black_ascot	7
black_belt	2
black_bow	1
black_dress	3
black_gloves	5
black_hair	1
black_hairband	2
black_halter_top	6
black_headwear	1
black_jacket	2
black_legwear	7
black_ribbon	2
black_tiara	5
black_veil	3
blond_hair	1
blonde_hair	38
blue_ascot	1
blue_bow	2
blue_dress	1
blue_hair	4
blue_hairband	1
blue_hoodie	11
blue_jacket	1
blue_neckerchief	1
blue_necktie	1
blue_ribbon	6
blue_shorts	1
blue_skirt	5
blue_tie	1
blunt_bangs	5
bongo_drums	1
book	1
book_stack	1
bottle	1
bow	3
bowing	1
bracelet	6
braid	1
brown_footwear	27
brown_hair	2
brown_headwear	1
brown_jacket	11
brown_neckerchief	2
brown_sailor_collar	2
brown_shorts	2
brown_skirt	23
brown_sleeves	1
bubble_blowing	1
cabbie_hat	23
cake	1
cake_slice	4
campfire	1
cantaloupe	1
caption	1
carrot_hair_ornament	1
carrying	1
chef_hat	7
chibi	7
chopsticks	1
cleavage_cutout	1
closed_eyes	17
closed_mouth	7
coat	1
collar	4
crossed_legs	1
crowbar	1
crown	2
cutout_above_navel	4
dancing	4
detached_sleeves	8
dinosaur_tail	1
dog	1
dog_ears	4
door	1
doritos	1
dragon_girl	2
dress	17
drill_locks	1
drinking	2
drinking_glass	1
driving	1
drumsticks	1
eating	10
eating_hair	1
egg	1
elbow_gloves	2
escape	1
eyepatch	1
fairy_wings	5
fake_mustache	1
falling	1
fidgeting	1
fire	1
firing	1
fish_tail	10
flossing_(dance)	1
flying	2
fork	1
fox_ears	1
fox_tail	1
full_body	25
gamepad	1
ghost	1
glasses	1
glowstick	2
gold	1
gravity_gun	1
green_footwear	1
green_hair	1
green_hoodie	1
green_jacket	2
green_legwear	1
green_skirt	1
grey_beret	1
grey_dress	1
grey_footwear	9
grey_hair	11
grey_hoodie	1
grey_kimono	1
grey_legwear	25
grey_necktie	1
grey_shirt	2
grey_shorts	1
grey_skirt	3
hair_bow	3
hair_flower	2
hair_ornament	9
hair_ribbon	7
hair_tie	1
hairband	2
hairclip	3
halter_dress	5
halterneck	6
hammer	1
hat	2
hat_flower	1
head_fins	1
head_wings	1
headpiece	5
high-waist_skirt	1
holding_knife	1
hood	10
hood_down	11
hoodie	12
horns	1
id_card	1
insect_wings	1
instruction_manual	1
jump_rope	1
jumping	3
karaoke	1
kicking	1
kimono	2
kneehighs	29
knocking	1
lanyard	1
lapel	1
laptop	1
leaning_forward	3
lifting	1
locked_arms	1
long_hair	45
long_sleeves	36
looking_at_viewer	2
low_detail	2
low_wings	1
macarena_(dance)	1
maid	1
mallet	1
marshmallow	1
microphone	1
midriff_peek	4
minecraft	1
mining	1
money	1
motion_blur	1
multiple_girls	4
neckerchief	2
necktie	31
noodles	2
official_alternate_costume	1
on_floor	7
open_jacket	1
open_mouth	7
orange_footwear	1
orange_hair	8
outstretched_arm	2
pantyhose	4
party_hat	3
party_whistle	1
patchwork_skin	1
pencil_skirt	3
pendant	3
petting	1
phone	1
piggyback	1
pink_hair	8
plaid_dress	1
plaid_jacket	1
plaid_skirt	24
plate	2
playing_games	1
pointy_ears	5
ponytail	1
punching	1
purple_beret	2
purple_bow	1
purple_dress	5
purple_gloves	2
purple_hair	9
purple_necktie	1
purple_skirt	1
purple_tail	1
rabbit_ears	1
reading	1
red_bow	1
red_dress	1
red_footwear	1
red_hair	2
red_jacket	1
red_necktie	28
red_ribbon	2
red_shirt	7
red_skirt	4
ribbon	8
rifle	1
ring_fit_adventure	1
rose	3
rowboat	1
rowing	1
running	1
sack	1
sailor_collar	2
sailor_shirt	2
santa_hat	1
santa_uniform	1
scythe	2
selfie	1
shark_girl	11
shark_tail	10
shirt	40
short_hair	32
shoulder_bag	1
side_ponytail	2
silver_hair	11
singing	1
single_elbow_glove	4
single_thighhigh	3
sitting	8
skirt	35
slam	5
sleeve_cuffs	10
sleeveless	2
sleeveless_dress	7
smile	14
solo	10
spread_arms	2
squeezing	1
stab	1
standing	3
stick	1
strapless_dress	5
sunglasses	2
swinging	2
table	1
tail	14
talking	3
tentacle_hair	5
tentacles	3
thighhighs	2
throwing	2
tiara	5
transparent_background	8
trident	1
trowel	1
tube_dress	5
twin_braids	2
twintails	3
two-tone_hair	17
two-tone_skin	1
typing	2
uneven_gloves	2
upper_body	14
veil	5
very_long_hair	14
vines	2
walking	1
water	1
waving_arms	5
white_coat	1
white_collar	4
white_dress	2
white_kimono	1
white_legwear	15
white_shirt	35
white_sleeves	8
white_veil	2
wine_bottle	1
yellow_jacket	1
zombie	1
|_|	8
